#vms time throughput
1 111.92 32.16583273766976411722
2 71.82 100.25062656641604010025
4 111.63 128.99758129535071217414
6 122.89 175.76694604931239319716
8 147.02 195.89171541286899741531
9 159.70 202.88040075140889167188
10 191.04 188.44221105527638190954
11 214.69 184.45200055894545623922
12 218.68 197.54892994329614047923
16 322.02 178.87087758524315259921
