   4 10.244.34.5:59565                        =>     15.6MB     14.4MB     12.5MB      276MB
   5 10.244.34.5:44238                        =>     17.5MB     12.9MB     13.1MB      288MB
   6 10.244.34.5:43319                        =>     8.16MB     12.8MB     10.7MB      235MB
   7 10.244.34.5:60901                        =>     17.2MB     12.6MB     13.5MB      297MB
   8 10.244.34.5:36454                        =>     3.33MB     12.6MB     10.5MB      232MB
   1 10.244.34.5:57772                        =>     15.4MB     17.3MB     14.2MB      342MB
   2 10.244.34.5:46053                        =>     15.6MB     15.5MB     18.2MB      436MB
   3 10.244.34.5:44238                        =>     15.7MB     13.9MB     13.3MB      319MB
   4 10.244.34.5:37891                        =>     15.8MB     13.8MB     13.9MB      333MB
   5 10.244.34.5:59565                        =>     11.5MB     13.8MB     12.5MB      299MB
   6 10.244.34.5:43319                        =>     14.3MB     13.4MB     11.0MB      263MB
   7 10.244.34.5:60901                        =>     13.8MB     12.7MB     13.5MB      324MB
   8 10.244.34.5:36454                        =>     10.2MB     11.9MB     10.5MB      252MB
   1 10.244.34.5:57772                        =>     15.8MB     17.3MB     14.4MB      374MB
   2 10.244.34.5:37891                        =>     14.3MB     14.8MB     13.9MB      361MB
   3 10.244.34.5:44238                        =>     16.3MB     14.7MB     13.5MB      352MB
   4 10.244.34.5:46053                        =>     9.46MB     13.9MB     17.5MB      455MB
   5 10.244.34.5:43319                        =>     16.8MB     13.7MB     11.4MB      297MB
   6 10.244.34.5:59565                        =>     13.1MB     13.4MB     12.5MB      325MB
   7 10.244.34.5:60901                        =>     14.5MB     12.9MB     13.6MB      353MB
   8 10.244.34.5:36454                        =>     11.9MB     11.6MB     10.6MB      276MB
   1 10.244.34.5:57772                        =>     17.9MB     16.3MB     14.6MB      409MB
   2 10.244.34.5:37891                        =>     15.5MB     15.3MB     14.0MB      392MB
   3 10.244.34.5:44238                        =>     14.3MB     15.3MB     13.6MB      380MB
   4 10.244.34.5:46053                        =>     15.0MB     14.0MB     17.3MB      485MB
   5 10.244.34.5:43319                        =>     10.8MB     13.1MB     11.4MB      318MB
   6 10.244.34.5:60901                        =>     10.6MB     13.1MB     13.4MB      374MB
   7 10.244.34.5:59565                        =>     9.73MB     12.7MB     12.3MB      345MB
   8 10.244.34.5:36454                        =>     18.3MB     12.3MB     11.2MB      313MB
   1 10.244.34.5:37891                        =>     15.3MB     16.0MB     14.1MB      423MB
   2 10.244.34.5:44238                        =>     15.6MB     15.9MB     13.7MB      412MB
   3 10.244.34.5:57772                        =>     14.0MB     15.6MB     14.6MB      437MB
   4 10.244.34.5:60901                        =>     13.2MB     13.9MB     13.4MB      401MB
   5 10.244.34.5:43319                        =>     18.6MB     13.7MB     11.9MB      356MB
   6 10.244.34.5:46053                        =>     10.5MB     13.4MB     16.9MB      506MB
   7 10.244.34.5:59565                        =>     13.7MB     12.7MB     12.4MB      372MB
   8 10.244.34.5:36454                        =>     11.3MB     11.0MB     11.2MB      335MB
   1 10.244.34.5:57772                        =>     18.4MB     16.3MB     14.8MB      474MB
   2 10.244.34.5:44238                        =>     14.4MB     15.3MB     13.8MB      440MB
   3 10.244.34.5:43319                        =>     14.6MB     15.0MB     12.0MB      385MB
   4 10.244.34.5:37891                        =>     11.3MB     14.4MB     13.9MB      445MB
   5 10.244.34.5:60901                        =>     19.2MB     14.3MB     13.7MB      439MB
   6 10.244.34.5:36454                        =>     13.2MB     13.0MB     11.3MB      362MB
   7 10.244.34.5:46053                        =>     10.4MB     12.2MB     16.5MB      527MB
   8 10.244.34.5:59565                        =>     10.9MB     11.8MB     12.3MB      394MB
   1 10.244.34.5:57772                        =>     11.8MB     15.6MB     14.6MB      498MB
   2 10.244.34.5:37891                        =>     20.8MB     15.4MB     14.3MB      487MB
   3 10.244.34.5:43319                        =>     14.3MB     15.0MB     12.2MB      413MB
   4 10.244.34.5:44238                        =>     14.2MB     15.0MB     13.8MB      469MB
   5 10.244.34.5:60901                        =>     12.5MB     14.0MB     13.7MB      464MB
   6 10.244.34.5:36454                        =>     9.11MB     12.7MB     11.2MB      380MB
   7 10.244.34.5:46053                        =>     17.3MB     12.5MB     16.5MB      561MB
   8 10.244.34.5:59565                        =>     12.3MB     11.9MB     12.3MB      418MB
   1 10.244.34.5:37891                        =>     17.6MB     16.1MB     14.5MB      522MB
   2 10.244.34.5:57772                        =>     12.5MB     14.9MB     14.5MB      523MB
   3 10.244.34.5:60901                        =>     18.4MB     14.8MB     13.9MB      501MB
   4 10.244.34.5:43319                        =>     14.5MB     14.6MB     12.3MB      442MB
   5 10.244.34.5:44238                        =>     13.4MB     14.4MB     13.8MB      496MB
   6 10.244.34.5:46053                        =>     13.9MB     13.4MB     16.4MB      589MB
   7 10.244.34.5:36454                        =>     8.58MB     12.1MB     11.0MB      397MB
   8 10.244.34.5:59565                        =>     13.5MB     12.0MB     12.4MB      445MB
   1 10.244.34.5:37891                        =>     14.7MB     15.9MB     14.5MB      551MB
   2 10.244.34.5:43319                        =>     15.4MB     15.5MB     12.4MB      473MB
   3 10.244.34.5:60901                        =>     13.9MB     15.5MB     13.9MB      529MB
   4 10.244.34.5:57772                        =>     19.6MB     15.2MB     14.8MB      562MB
   5 10.244.34.5:44238                        =>     10.2MB     13.6MB     13.6MB      516MB
   6 10.244.34.5:59565                        =>     16.4MB     13.3MB     12.6MB      478MB
   7 10.244.34.5:46053                        =>     10.7MB     12.6MB     16.1MB      610MB
   8 10.244.34.5:36454                        =>     11.3MB     10.7MB     11.0MB      420MB
   1 10.244.34.5:60901                        =>     14.9MB     15.8MB     14.0MB      559MB
