   2 10.244.34.5:47794                        =>     15.9MB     15.9MB     15.8MB      664MB
   3 10.244.34.5:45979                        =>     15.1MB     15.8MB     15.7MB      648MB
   1 10.244.34.5:45056                        =>     16.1MB     16.0MB     15.8MB      663MB
   2 10.244.34.5:47794                        =>     15.9MB     15.9MB     15.8MB      696MB
   3 10.244.34.5:45979                        =>     15.7MB     15.7MB     15.9MB      680MB
   1 10.244.34.5:45056                        =>     15.9MB     16.0MB     15.9MB      695MB
   2 10.244.34.5:47794                        =>     15.9MB     15.9MB     15.8MB      728MB
   3 10.244.34.5:45979                        =>     16.0MB     15.7MB     15.9MB      712MB
   1 10.244.34.5:45056                        =>     15.9MB     16.0MB     15.9MB      727MB
   2 10.244.34.5:47794                        =>     15.8MB     15.9MB     15.9MB      759MB
   3 10.244.34.5:45979                        =>     15.9MB     15.7MB     15.8MB      744MB
   1 10.244.34.5:45056                        =>     15.8MB     15.9MB     15.9MB      758MB
   2 10.244.34.5:47794                        =>     15.2MB     15.7MB     15.8MB      790MB
   3 10.244.34.5:45979                        =>     16.0MB     15.7MB     15.8MB      775MB
   1 10.244.34.5:45979                        =>     16.0MB     15.9MB     15.8MB      807MB
   2 10.244.34.5:45056                        =>     15.4MB     15.8MB     15.9MB      789MB
   3 10.244.34.5:47794                        =>     15.9MB     15.7MB     15.8MB      822MB
   1 10.244.34.5:45979                        =>     15.9MB     16.0MB     15.8MB      839MB
   2 10.244.34.5:45056                        =>     16.1MB     15.8MB     15.9MB      821MB
   3 10.244.34.5:47794                        =>     15.4MB     15.6MB     15.8MB      852MB
   1 10.244.34.5:45979                        =>     15.9MB     15.9MB     15.8MB      871MB
   2 10.244.34.5:45056                        =>     15.3MB     15.7MB     15.9MB      852MB
   3 10.244.34.5:47794                        =>     15.7MB     15.6MB     15.8MB      884MB
   1 10.244.34.5:45979                        =>     15.9MB     15.9MB     15.9MB      903MB
   2 10.244.34.5:45056                        =>     15.9MB     15.7MB     15.9MB      884MB
   3 10.244.34.5:47794                        =>     15.9MB     15.6MB     15.8MB      916MB
   1 10.244.34.5:45979                        =>     16.0MB     15.9MB     15.9MB      935MB
   2 10.244.34.5:45056                        =>     15.9MB     15.7MB     15.9MB      916MB
   3 10.244.34.5:47794                        =>     14.1MB     15.4MB     15.7MB      944MB
   1 10.244.34.5:45979                        =>     15.9MB     15.9MB     15.9MB      967MB
   2 10.244.34.5:45056                        =>     15.8MB     15.8MB     15.8MB      947MB
   3 10.244.34.5:47794                        =>     12.2MB     14.7MB     15.5MB      968MB
   1 10.244.34.5:45979                        =>     15.3MB     15.8MB     15.9MB      997MB
   2 10.244.34.5:45056                        =>     15.7MB     15.7MB     15.8MB      979MB
   3 10.244.34.5:47794                        =>     14.3MB     14.4MB     15.4MB      997MB
   1 10.244.34.5:45056                        =>     15.8MB     15.8MB     15.8MB     0.99GB
   2 10.244.34.5:45979                        =>     15.1MB     15.7MB     15.8MB     1.00GB
   3 10.244.34.5:47794                        =>     15.5MB     14.4MB     15.4MB     1.00GB
   1 10.244.34.5:45056                        =>     15.9MB     15.8MB     15.8MB     1.02GB
   2 10.244.34.5:45979                        =>     15.9MB     15.7MB     15.8MB     1.03GB
   3 10.244.34.5:47794                        =>     16.2MB     14.5MB     15.4MB     1.04GB
   1 10.244.34.5:45056                        =>     16.0MB     15.8MB     15.8MB     1.05GB
   2 10.244.34.5:45979                        =>     16.1MB     15.7MB     15.8MB     1.07GB
   3 10.244.34.5:47794                        =>     16.2MB     14.9MB     15.5MB     1.07GB
   1 10.244.34.5:45056                        =>     16.1MB     15.9MB     15.9MB     1.08GB
   2 10.244.34.5:45979                        =>     14.2MB     15.3MB     15.7MB     1.09GB
   3 10.244.34.5:47794                        =>     12.7MB     15.0MB     15.3MB     1.09GB
   6 10.244.34.5:s
