[7l--net/eth0- ----total-cpu-usage----
 recv  send|usr sys idl wai hiq siq
 179k   51M|  5   5  88   1   0   0
 266k   73M|  7   6  86   0   0   1
 319k   86M|  7   7  86   0   0   1
 397k  106M|  6   5  89   0   0   0
 447k   76M|  6   6  88   0   0   0
 289k   75M|  6   5  89   0   0   0
 310k   80M|  7   6  86   1   0   1
 328k   85M|  6   6  88   0   0   1
 348k   88M|  5   6  89   0   0   0
 356k   90M|  6   5  88   0   0   0
 360k   92M|  5   7  88   0   0   0
 361k   80M|  5   5  91   0   0   0
 309k   80M|  5   6  88   1   0   1
 316k   81M|  6   6  87   0   0   0
 331k   84M|  6   7  87   0   0   0
 345k   88M|  6   7  87   0   0   1
 355k   91M|  6   6  88   0   0   0
 404k   82M|  5   4  91   0   0   0
 282k   69M|  6   5  88   1   0   0
 300k   75M|  5   6  88   0   0   0
 325k   80M|  6   6  87   0   0   1
 349k   85M|  6   6  87   0   0   0
 370k   88M|  6   5  88   0   0   0
 374k   80M|  6   4  89   0   0   0
 312k   81M|  6   5  87   1   0   0
 334k   85M|  6   5  89   0   0   0
 358k   89M| 31   6  61   0   0   2
 354k   91M| 27   7  65   0   0   1
 376k   96M| 28   6  64   0   0   2
 335k   81M| 24   5  69   0   0   2
 301k   72M| 30   4  63   1   0   2
 276k   70M| 23   5  72   0   0   1
 292k   71M|  3   4  92   0   0   1
 272k   67M|  5   4  91   0   0   0
 196k   55M|  4   3  93   0   0   0
 198k   40M|  5   3  93   0   0   0
 164k   42M| 29   2  67   2   0   1
 193k   48M| 20   4  76   0   0   1
 146k   30M| 27   2  71   0   0   1
  89k   22M| 28   2  70   0   0   0
  89k   21M| 15   3  82   0   0   1
  94k   23M|  3   2  96   0   0   0
  58k   11M|  2   2  94   2   0   0
  41k 9606k|  2   2  96   0   0   0
  41k 9072k|  1   2  97   0   0   0
  41k 9339k|  2   2  96   0   0   0
  43k 9606k|  2   2  96   0   0   0
  43k 9206k|  2   2  96   0   0   0
  46k   10M|  2   2  95   1   0   0
  42k 9673k|  1   2  96   0   0   0
  48k   11M|  1   1  97   0   0   0
  50k   11M|  3   2  96   0   0   0
  59k   12M|  1   2  97   0   0   0
  55k   12M|  2   2  96   0   0   0
  62k   14M|  1   3  95   1   0   0
  66k   15M|  2   2  96   0   0   0
  74k   17M|  2   3  95   0   0   0
  77k   19M| 18   3  79   0   0   0
  84k   20M| 27   2  71   0   0   0
 102k   24M|  7   3  89   0   0   1
  53k 7642k|  1   2  96   2   0   0
  13k 9798B|  2   2  97   0   0   0
5795B 9240B|  2   2  96   0   0   0
4664B 6072B|  1   2  97   0   0   0
3852B   12k|  1   2  97   0   0   0
1725B    0 |  1   2  97   0   0   0
 363B    0 |  3   4  92   1   0   0
5300B  359k|  3   2  95   0   0   0
  11k 1235k|  3   1  96   0   0   0
